"","Name","Age","Nationality","Club","Overall","Potential","Values","Preferred.Foot","Height","Weight","Country"
"1","L. Messi",31,"Argentina","FC Barcelona",94,94,110500000,"Left",170,72,"Spain"
"2","Cristiano Ronaldo",33,"Portugal","Juventus",94,94,7.7e+07,"Right",188,83,"Italy"
"3","Neymar Jr",26,"Brazil","Paris Saint-Germain",92,93,118500000,"Right",175,68,"France"
"4","De Gea",27,"Spain","Manchester United",91,93,7.2e+07,"Right",193,76,"UK"
"5","K. De Bruyne",27,"Belgium","Manchester City",91,92,1.02e+08,"Right",180,70,"UK"
"6","E. Hazard",27,"Belgium","Chelsea",91,91,9.3e+07,"Right",173,74,"UK"
"7","L. Modrić",32,"Croatia","Real Madrid",91,91,6.7e+07,"Right",173,66,"Spain"
"8","L. Suárez",31,"Uruguay","FC Barcelona",91,91,8e+07,"Right",183,86,"Spain"
"9","Sergio Ramos",32,"Spain","Real Madrid",91,91,5.1e+07,"Right",183,82,"Spain"
"10","T. Kroos",28,"Germany","Real Madrid",90,90,76500000,"Right",183,76,"Spain"
"11","David Silva",32,"Spain","Manchester City",90,90,6e+07,"Left",173,67,"UK"
"12","N. Kanté",27,"France","Chelsea",89,90,6.3e+07,"Right",168,72,"UK"
"13","P. Dybala",24,"Argentina","Juventus",89,94,8.9e+07,"Left",178,75,"Italy"
"14","H. Kane",24,"England","Tottenham Hotspur",89,91,83500000,"Right",188,89,"UK"
"15","M. ter Stegen",26,"Germany","FC Barcelona",89,92,5.8e+07,"Right",188,85,"Spain"
"16","T. Courtois",26,"Belgium","Real Madrid",89,90,53500000,"Left",198,96,"Spain"
"17","Sergio Busquets",29,"Spain","FC Barcelona",89,89,51500000,"Right",188,76,"Spain"
"18","E. Cavani",31,"Uruguay","Paris Saint-Germain",89,89,6e+07,"Right",185,77,"France"
"19","S. Agüero",30,"Argentina","Manchester City",89,89,64500000,"Right",173,70,"UK"
"20","G. Chiellini",33,"Italy","Juventus",89,89,2.7e+07,"Left",188,85,"Italy"
"21","K. Mbappé",19,"France","Paris Saint-Germain",88,95,8.1e+07,"Right",178,73,"France"
"22","M. Salah",26,"Egypt","Liverpool",88,89,69500000,"Left",175,71,"UK"
"23","Casemiro",26,"Brazil","Real Madrid",88,90,59500000,"Right",185,84,"Spain"
"24","L. Insigne",27,"Italy","Napoli",88,88,6.2e+07,"Right",163,59,"Italy"
"25","Isco",26,"Spain","Real Madrid",88,91,73500000,"Right",175,79,"Spain"
"26","C. Eriksen",26,"Denmark","Tottenham Hotspur",88,91,73500000,"Right",180,76,"UK"
"27","Coutinho",26,"Brazil","FC Barcelona",88,89,69500000,"Right",173,68,"Spain"
"28","P. Aubameyang",29,"Gabon","Arsenal",88,88,5.9e+07,"Right",188,80,"UK"
"29","Marcelo",30,"Brazil","Real Madrid",88,88,4.3e+07,"Left",175,80,"Spain"
"30","G. Bale",28,"Wales","Real Madrid",88,88,6e+07,"Left",185,82,"Spain"
"31","H. Lloris",31,"France","Tottenham Hotspur",88,88,3.6e+07,"Left",188,82,"UK"
"32","G. Higuaín",30,"Argentina","Milan",88,88,5.7e+07,"Right",185,89,"Italy"
"33","Thiago Silva",33,"Brazil","Paris Saint-Germain",88,88,2.4e+07,"Right",183,82,"France"
"34","S. Handanovič",33,"Slovenia","Inter",88,88,3e+07,"Right",193,92,"Italy"
"35","G. Buffon",40,"Italy","Paris Saint-Germain",88,88,4e+06,"Right",193,92,"France"
"36","S. Umtiti",24,"France","FC Barcelona",87,92,5.7e+07,"Left",183,75,"Spain"
"37","M. Icardi",25,"Argentina","Inter",87,90,64500000,"Right",180,75,"Italy"
"38","K. Koulibaly",27,"Senegal","Napoli",87,90,5.1e+07,"Right",188,89,"Italy"
"39","P. Pogba",25,"France","Manchester United",87,91,6.4e+07,"Right",193,84,"UK"
